accuracy,precision,recall,f1_score,f2_score,best_threshold,tp,tn,fp,fn,ml_type,balance_method,dataset
0.8093977498345467,0.6904906117504542,0.946058091286307,0.7983193277310925,0.8808530366249421,0.1599999999999999,1140,1306,511,65,xgboost,over,over_sampled_residual_cnn_features_64.csv
0.8246194573130378,0.7110694183864915,0.9435684647302904,0.8109843081312411,0.8856519707119489,0.1699999999999999,1137,1355,462,68,xgboost,over,over_sampled_residual_cnn_features_128.csv
0.8494374586366644,0.7622377622377622,0.9045643153526972,0.8273244781783681,0.872,0.12,1090,1477,340,115,svm,normal,normal_residual_cnn_features_64.csv
0.8520847121111846,0.7613793103448275,0.9161825726141078,0.831638418079096,0.8803827751196173,0.2299999999999999,1104,1471,346,101,xgboost,over,over_sampled_residual_cnn_features_256.csv
0.8037723362011913,0.6836734693877551,0.9452282157676348,0.7934517589690003,0.8780450200431699,0.1699999999999999,1139,1290,527,66,xgboost,over,under_sampled_residual_cnn_features_32.csv
0.799139642620781,0.6767139479905437,0.950207468879668,0.7904729030031067,0.8791461916461917,0.1399999999999999,1145,1270,547,60,xgboost,over,under_sampled_residual_cnn_features_64.csv
0.8547319655857049,0.7674581005586593,0.9120331950207468,0.8335229427379598,0.8789187460012796,0.2199999999999999,1099,1484,333,106,rf,normal,over_sampled_residual_cnn_features_64.csv
0.828590337524818,0.7186505410566518,0.9369294605809128,0.8134005763688761,0.8832733531528713,0.1799999999999999,1129,1375,442,76,xgboost,over,under_sampled_residual_cnn_features_128.csv
0.8653209794837856,0.7845934379457917,0.9128630705394192,0.8438818565400844,0.8839601414336227,0.2699999999999999,1100,1515,302,105,xgboost,over,under_sampled_residual_cnn_features_256.csv
0.8418266048974189,0.7371167645140247,0.9377593360995852,0.8254200146092038,0.8893436171887298,0.1899999999999999,1130,1414,403,75,xgboost,over,weighted_residual_cnn_features_32.csv
0.7945069490403707,0.6738095238095239,0.9394190871369296,0.7847487001733102,0.8707692307692307,0.1699999999999999,1132,1269,548,73,xgboost,over,weighted_residual_cnn_features_64.csv
0.8206485771012575,0.7060285891858297,0.9427385892116182,0.8073916133617626,0.8834966557785037,0.1599999999999999,1136,1344,473,69,xgboost,over,weighted_residual_cnn_features_128.csv
0.8034414295168762,0.683043738765728,0.946058091286307,0.7933194154488518,0.878409616273694,0.1499999999999999,1140,1288,529,65,xgboost,over,weighted_residual_cnn_features_256.csv
0.8269358041032429,0.7166454891994918,0.9360995850622408,0.8118028067650234,0.8820769471379418,0.12,1128,1371,446,77,xgboost,weighted,normal_residual_cnn_features_32.csv
0.8262739907346128,0.7141057934508817,0.9410788381742738,0.8120300751879699,0.8848314606741573,0.1399999999999999,1134,1363,454,71,rf,normal,over_sampled_residual_cnn_features_128.csv
0.8362011912640636,0.7314211212516297,0.9311203319502076,0.8192771084337349,0.882908404154863,0.1399999999999999,1122,1405,412,83,xgboost,weighted,normal_residual_cnn_features_64.csv
0.8242885506287227,0.7154731457800512,0.9286307053941908,0.8082340195016251,0.8764097744360902,0.1399999999999999,1119,1372,445,86,xgboost,weighted,normal_residual_cnn_features_128.csv
0.814361350099272,0.6958637469586375,0.9493775933609958,0.803088803088803,0.8849009900990099,0.12,1144,1317,500,61,xgboost,weighted,normal_residual_cnn_features_256.csv
0.8309066843150231,0.7157960199004975,0.9551867219917012,0.8183434056167792,0.8953018046048538,0.1,1151,1360,457,54,xgboost,weighted,over_sampled_residual_cnn_features_32.csv
0.8249503639973528,0.7120451693851945,0.941908713692946,0.811003929974991,0.8847832865606485,0.1399999999999999,1135,1358,459,70,xgboost,weighted,over_sampled_residual_cnn_features_64.csv
0.8213103904698875,0.7061376317420954,0.9452282157676348,0.808374733853797,0.8852790300015545,0.12,1139,1343,474,66,xgboost,weighted,over_sampled_residual_cnn_features_128.csv
0.814361350099272,0.6982758620689655,0.9410788381742738,0.8016967126193001,0.8798882681564246,0.12,1134,1327,490,71,rf,normal,over_sampled_residual_cnn_features_256.csv
0.8398411647915288,0.7363934426229508,0.9319502074688796,0.8227106227106227,0.8849487785657998,0.13,1123,1415,402,82,xgboost,weighted,over_sampled_residual_cnn_features_256.csv
